patientid,min,mean,max,std
dsb_95edad4544e59e37188dd33db40cecb7.npz,0.00143,0.65977,0.99988,0.39374
dsb_0700108170c91ea2219006e9484999ef.npz,0.00155,0.67939,0.99987,0.39196
dsb_6d3b16f2e60c3a1a4246f340dba73676.npz,0.00125,0.48906,0.99985,0.44432
dsb_48fac79fead32f2b10e37752cb077af6.npz,0.00171,0.54121,0.99986,0.35541
dsb_566a5d958f17d2fc44d4a1ec00401034.npz,0.00223,0.47566,0.99988,0.44293
dsb_1fdbc07019192de4a114e090389c8330.npz,0.00137,0.65497,0.99986,0.38020
dsb_f42a0343e5b5154c6a184fc955d8f20f.npz,0.00065,0.10562,0.99985,0.28563
dsb_c645eb8b7b7225457e61cf511a8e46e5.npz,0.00146,0.77063,0.99985,0.35897
dsb_f228862e9f9c6ad7993ded4e088c5050.npz,0.00288,0.65878,0.99988,0.36355
dsb_1cf8e778167d20bf769669b4be96592b.npz,0.00116,0.39507,0.99986,0.33924
dsb_96cca9d8e5764daa4bcb6c0ba07735bc.npz,0.00204,0.70338,0.99983,0.37168
dsb_abc4cfb4ac045b4f9a74e2dbb18f8193.npz,0.00094,0.63879,0.99987,0.41244
dsb_daee58dd09c005fe41ca370c2a2fdfa9.npz,0.00066,0.62110,0.99980,0.41982
dsb_b0599ad2f33276e7cd065eaa8dcec8a2.npz,0.00188,0.60920,0.99988,0.43734
dsb_6f38eb7988753c6a978d0da80dbc014b.npz,0.00178,0.63791,0.99987,0.38881
dsb_0d19f1c627df49eb223771c28548350e.npz,0.00076,0.69614,0.99984,0.38639
dsb_b6578699374a9954b9a8a9e7da2603b1.npz,0.00198,0.70927,0.99988,0.36870
dsb_de04fbf5e6c2389f0d039398bdcda971.npz,0.00177,0.39337,0.99988,0.43794
dsb_f599c9bb0bd19126e13fba8b63d2de41.npz,0.00210,0.34632,0.99986,0.25304
dsb_e38789c5eabb3005bfb82a5298055ba0.npz,0.00182,0.66453,0.99987,0.37235
dsb_8c6f2ce60479f73c257173911aff3453.npz,0.00132,0.58277,0.99988,0.43070
dsb_9de48cf43611478ffc1fef051b75dc8c.npz,0.00107,0.53425,0.99986,0.39058
dsb_7f096cdfbc2fe03ec7f779278416a78c.npz,0.00205,0.67930,0.99986,0.36945
dsb_e1e47812eecd80466cf7f5b0160de446.npz,0.00100,0.42378,0.99982,0.43638
dsb_1344e604281e68ac71f25c02e7637992.npz,0.00079,0.28725,0.99985,0.41646
dsb_c6b722b00948587dd89a548f9639f447.npz,0.00103,0.47824,0.99981,0.36850
dsb_e709901da9ba15a95d4a29906edc01dd.npz,0.00161,0.69113,0.99988,0.39051
dsb_67ccc2ecd7716e1cab05caaedea99f4b.npz,0.00102,0.60702,0.99986,0.41483
dsb_580cffecce8d3d53cde1abb922adf21a.npz,0.00111,0.69593,0.99988,0.40642
dsb_80938b4f531fa2334c13d829339e1356.npz,0.00136,0.06959,0.99988,0.22853
dsb_cc4805e3ebe8621bc94a621b1714fc84.npz,0.00124,0.71379,0.99986,0.39485
dsb_6a08bc7a3156caf9b07bbb1f9b2861d2.npz,0.00068,0.59685,0.99985,0.44283
dsb_e4ff18b33b7110a64f497e177102f23d.npz,0.00074,0.56805,0.99980,0.43213
dsb_5f19d1c7bd7ceb691639cab9c1c2cb19.npz,0.00093,0.12653,0.99988,0.30340
dsb_e6b3e750c6c7a70ca512d77defcfe615.npz,0.00115,0.58712,0.99987,0.41409
dsb_398208da1bcb6a88e11a7314065f13ff.npz,0.00184,0.73809,0.99988,0.36786
dsb_2004b3f761c3f5dffb02204f1247b211.npz,0.00161,0.67626,0.99988,0.39924
dsb_74dca439eb5b6dfa5e33c6d2119630ff.npz,0.00178,0.56754,0.99987,0.37274
dsb_0482c444ac838adc5aa00d1064c976c1.npz,0.00156,0.50917,0.99986,0.38668
dsb_b4581f4f4cad292b5a013d35d1c39f24.npz,0.00117,0.43410,0.99985,0.31975
dsb_327c4e9f365aec05222e253d1a80a1d4.npz,0.00155,0.71110,0.99988,0.38110
dsb_d8ed783494996f55a587270a212f7d5b.npz,0.00126,0.50899,0.99988,0.44651
dsb_8be7a7cc747365030bee8297221ab5bc.npz,0.00157,0.57748,0.99988,0.42485
dsb_2619ed1e4eca954af4dcbc4436ef8467.npz,0.00078,0.57810,0.99978,0.43663
dsb_e42815372aa308f5943847ad06f529de.npz,0.00140,0.58621,0.99985,0.44511
dsb_43933b4021d93dd64854f318656c7d1e.npz,0.00148,0.39234,0.99988,0.44170
dsb_823b5f08ce145f837066d2e19dab10c1.npz,0.00178,0.68175,0.99988,0.36628
dsb_ed83b655a1bbad40a782ad13cf27ce8f.npz,0.00135,0.66524,0.99987,0.41354
dsb_7f524231183ed193b8f2e3d9cc73c059.npz,0.00159,0.56546,0.99988,0.43666
dsb_4b6b53281fe1fe797e181a5287df0f9a.npz,0.00069,0.64416,0.99979,0.39016
dsb_bbf7a3e138f9353414f2d51f0c363561.npz,0.00064,0.28166,0.99985,0.41466
dsb_7b547c5afa0c028b0e20e9a28eaeaa41.npz,0.00128,0.56561,0.99988,0.42372
dsb_199ff05d08ade6e298d37cc542bc3565.npz,0.00167,0.42705,0.99987,0.44104
dsb_437e42695e7ad0a1cb834e1b3e780516.npz,0.00104,0.59232,0.99986,0.42819
dsb_6997b392b28529c9ab67add45055fcf7.npz,0.00189,0.46840,0.99988,0.44038
dsb_186a0877503b047a77eb9b38083be9c1.npz,0.00090,0.62524,0.99986,0.43239
dsb_3043b5cc9733054f3ab5399c3c810406.npz,0.00141,0.55604,0.99982,0.38290
dsb_00edff4f51a893d80dae2d42a7f45ad1.npz,0.00070,0.59809,0.99983,0.39233
dsb_d09e4124b97b22ef45692b62b4ca7f03.npz,0.00157,0.59600,0.99988,0.36579
dsb_90409f7fcfec3581033559f8340e48a9.npz,0.00130,0.64660,0.99988,0.43111
dsb_c2878958469b61d4f4406bbe945f8bd7.npz,0.00209,0.44187,0.99988,0.44527
dsb_408646e125230c495be91fe171da736e.npz,0.00186,0.69830,0.99988,0.36668
dsb_e4a87107f94e4a8e32b735d18cef1137.npz,0.00161,0.60504,0.99988,0.36794
dsb_191fa0e017185de2c802bbe94edad2ed.npz,0.00192,0.55805,0.99987,0.44248
dsb_d34741458ed4cf1ef6bcf3da21a0c47c.npz,0.00123,0.63331,0.99988,0.43465
dsb_436fd6ccfc92afc44c7d3ccfe26b6129.npz,0.00199,0.69905,0.99988,0.35006
dsb_74b68f9442209bace31aa62027fbb79a.npz,0.00147,0.65840,0.99986,0.39081
dsb_b6857d98b7b3dbe84f153617f4dfd14b.npz,0.00103,0.62429,0.99983,0.42891
dsb_4aa3131e76b28e30235664087407edc3.npz,0.00167,0.60013,0.99986,0.41579
dsb_61017c23bbae6e17062ff582d1a237b3.npz,0.00191,0.62701,0.99987,0.35917
dsb_44988c6efa451e8d496188cb30669d44.npz,0.00077,0.26304,0.99968,0.32075
dsb_f0f72264cd822301852578cc71288d3c.npz,0.00095,0.20824,0.99988,0.37410
dsb_5fe048f36bd2da6bdb63d8ff3c4022cd.npz,0.00266,0.53725,0.99988,0.44377
dsb_16377fe7caf072d882f234dbbff9ef6c.npz,0.00141,0.57224,0.99987,0.44306
dsb_68e905099a1c18242aba55c9901eaaae.npz,0.00188,0.63905,0.99989,0.43032
dsb_28621a6988deb389673605447f46d3bb.npz,0.00069,0.52382,0.99984,0.39241
dsb_cd6be62834c72756738935f904ec9c2c.npz,0.00125,0.47027,0.99989,0.44091
dsb_e1c92d3f85a37bd8bb963345b6d66e03.npz,0.00165,0.61272,0.99988,0.42660
dsb_2eb92d17ca91b393765e8acf069763a6.npz,0.00169,0.68477,0.99987,0.37677
dsb_ac57a379cfea05c07d9befe8b9359495.npz,0.00094,0.45440,0.99986,0.44810
dsb_335b129aacabdf9269b0bb12f148d15c.npz,0.00127,0.45361,0.99985,0.44903
dsb_494c42cb61c1e4a02504c16fe09a8129.npz,0.00087,0.66147,0.99987,0.41522
dsb_9f19c381184ba62416025849c464630e.npz,0.00240,0.72329,0.99988,0.35775
dsb_aa59b7a4aa4dfb2489feea527eda3e4d.npz,0.00127,0.52214,0.99987,0.44445
dsb_3170d41d2bc132db30399fca6bc6f376.npz,0.00079,0.51590,0.99986,0.43192
dsb_1a41350d4bbd74b7e0e28239cefa84c2.npz,0.00112,0.09579,0.99986,0.26795
dsb_2fc3d8ef26fc7aafad44d5034673dd4c.npz,0.00233,0.55792,0.99988,0.36874
dsb_1c498f306808952739e7a3a3a2439d1e.npz,0.00223,0.65418,0.99988,0.39137
dsb_799c0026d66479f7447ed0df5955f051.npz,0.00094,0.33061,0.99987,0.40202
dsb_616f98dab4db03edbad28c73d22468d2.npz,0.00142,0.62676,0.99986,0.41920
dsb_85746d90494345e38ab61533e999b3f1.npz,0.00110,0.58581,0.99980,0.42839
dsb_80600d4a5fee7424d689ba7d0906d50f.npz,0.00152,0.36830,0.99988,0.43338
dsb_84ed26b5d79da321711ed869b3cad2ea.npz,0.00140,0.68717,0.99988,0.36278
dsb_88acee40bb9d8cb06898d1c5de01d3c8.npz,0.00151,0.57436,0.99988,0.43141
dsb_dbfbc12c7a943a2dc0e34bfd4a636bca.npz,0.00073,0.59629,0.99981,0.41526
dsb_1e33cb12436a64853c1ae9e918633e05.npz,0.00134,0.44867,0.99988,0.45189
dsb_4baa552f3a11782f39e16b345d401fb8.npz,0.00109,0.39928,0.99989,0.41570
dsb_90d6324d7006a3d142ee1884279dcf9b.npz,0.00084,0.53579,0.99987,0.41949
dsb_263fa87394ee296e31234364e75d05e2.npz,0.00124,0.20347,0.99985,0.19500
dsb_a4ae73433e63549558a3d0eed9128a69.npz,0.00174,0.68796,0.99988,0.40602
dsb_882107a204c302e27628f85522baea49.npz,0.00156,0.61613,0.99987,0.37154
